Time,Temperature,Humidity,Light,Light Energy,Moisture,Pump Energy
16/07/2021 09:43:44,24,95,0,0,1,0.22
16/07/2021 09:43:55,24,95,0,0,1,0.21
16/07/2021 09:44:09,23,95,0,0,1,0.24
16/07/2021 09:44:20,23,95,0,0,1,0.21
16/07/2021 09:44:32,23,95,0,0,1,0.21
16/07/2021 09:44:43,23,95,0,0,1,0.2
16/07/2021 09:44:54,23,95,0,0,1,0.21
16/07/2021 09:45:06,24,95,0,0,1,0.23
16/07/2021 09:45:19,24,95,0,0,1,0.21
16/07/2021 09:45:31,24,95,0,0,1,0.23
16/07/2021 09:45:42,24,95,0,0,1,0.21
16/07/2021 09:45:55,24,95,0,0,1,0.24
16/07/2021 09:46:07,24,95,0,0,1,0.2
16/07/2021 09:46:18,24,95,0,0,1,0.22
16/07/2021 09:46:29,24,95,0,0,1,0.22
16/07/2021 09:46:41,24,95,0,0,1,0.21
16/07/2021 09:46:52,24,95,0,0,1,0.24
16/07/2021 09:47:04,24,95,0,0,1,0.24
16/07/2021 09:47:15,24,96,0,0,1,0.21
16/07/2021 09:47:26,24,96,0,0,1,0.24
16/07/2021 09:47:38,24,96,0,0,1,0.25
16/07/2021 09:47:49,24,96,0,0,1,0.22
16/07/2021 09:48:01,24,95,0,0,1,0.2
16/07/2021 09:48:12,24,95,0,0,1,0.21
16/07/2021 09:48:23,24,94,0,0,1,0.21
16/07/2021 09:48:37,24,94,0,0,1,0.22
16/07/2021 09:48:48,24,95,0,0,1,0.2
16/07/2021 09:49:00,24,95,0,0,1,0.23
16/07/2021 09:49:11,24,95,0,0,1,0.24
16/07/2021 09:49:22,24,95,0,0,1,0.23
16/07/2021 09:49:34,24,95,0,0,1,0.23
16/07/2021 09:49:45,24,94,0,0,1,0.21
16/07/2021 09:49:57,24,94,0,0,1,0.22
16/07/2021 09:50:08,24,94,0,0,1,0.21
16/07/2021 09:50:21,24,94,0,0,1,0.2
16/07/2021 09:50:35,24,94,0,0,1,0.23
16/07/2021 09:50:46,24,95,0,0,1,0.2
